IP,Subnet,UDP_Packet_Count,TCP_Packet_Count,ICMP_Packet_Count,Amplification_Factor,Attack_Type
192.168.57.148,same,5,22,7,1,Normal
61.46.148.80,different,423,262,84,5,APDoS
192.168.146.20,same,4,16,7,1,Normal
192.168.116.8,same,6,18,4,1,Normal
192.168.244.212,same,11,14,7,1,Normal
192.168.117.65,same,9,18,2,1,Normal
192.168.148.240,same,10,27,5,1,Normal
192.168.3.190,same,14,10,2,1,Normal
50.11.192.54,different,14,2,0,21,DrDoS
192.168.46.151,same,13,23,1,1,Normal
192.168.97.82,same,9,27,8,1,Normal
192.168.215.69,same,8,16,2,1,Normal
192.168.7.132,same,7,27,3,1,Normal
192.168.91.170,same,6,14,4,1,Normal
121.213.238.56,different,399,10,0,1,DDoS
192.168.0.8,same,12,16,5,1,Normal
192.168.6.3,same,15,20,4,1,Normal
192.168.184.17,same,7,14,6,1,Normal
113.235.82.42,different,474,4,5,1,DDoS
64.225.186.184,different,68,4,4,37,DrDoS
192.168.20.198,same,9,25,3,1,Normal
192.168.228.36,same,10,20,7,1,Normal
38.36.125.139,different,560,3,2,1,DDoS
192.168.177.248,same,6,25,9,1,Normal
137.161.75.227,different,596,0,7,1,DDoS
60.63.92.72,different,828,8,4,1,DDoS
192.168.29.35,same,12,18,6,1,Normal
192.168.152.145,same,15,21,5,1,Normal
157.32.243.222,different,280,3,5,1,DDoS
253.228.154.183,different,338,3,5,1,DDoS
5.122.73.97,different,167,5,3,1,DDoS
192.168.179.184,same,10,20,2,1,Normal
192.168.25.43,same,11,31,5,1,Normal
192.168.224.111,same,12,24,4,1,Normal
192.168.40.214,same,15,16,4,1,Normal
175.200.52.137,different,251,3,0,1,DoS
192.168.168.35,same,9,28,5,1,Normal
192.168.198.180,same,9,18,2,1,Normal
192.168.83.105,same,6,20,4,1,Normal
192.168.172.221,same,10,19,4,1,Normal
103.130.31.10,different,83,2,1,37,DrDoS
192.168.219.32,same,12,16,1,1,Normal
67.50.96.92,different,313,1,2,1,DDoS
192.168.77.32,same,9,16,2,1,Normal
192.168.146.112,same,7,19,5,1,Normal
166.221.136.226,different,102,2,3,1,DoS
108.23.80.202,different,207,169,68,7,APDoS
209.113.114.209,different,575,8,7,1,DDoS
25.102.200.246,different,327,3,1,1,DoS
192.168.108.98,same,8,27,6,1,Normal
192.168.56.31,same,14,21,5,1,Normal
192.168.106.193,same,5,16,5,1,Normal
246.149.68.56,different,338,9,3,1,DoS
192.168.210.227,same,17,22,6,1,Normal
192.168.107.172,same,19,13,10,1,Normal
200.24.209.89,different,317,9,0,1,DoS
47.31.9.16,different,248,450,32,5,APDoS
192.168.134.14,same,6,15,4,1,Normal
192.168.102.17,same,11,21,9,1,Normal
192.168.107.126,same,9,15,2,1,Normal
192.168.240.221,same,11,19,3,1,Normal
192.168.119.158,same,11,27,2,1,Normal
37.60.228.171,different,429,247,48,8,APDoS
88.10.61.77,different,34,3,3,12,DrDoS
63.53.116.243,different,415,379,66,9,APDoS
192.168.2.120,same,8,15,5,1,Normal
192.168.72.68,same,11,26,7,1,Normal
192.168.206.38,same,7,20,4,1,Normal
192.168.92.115,same,13,22,12,1,Normal
58.248.242.31,different,32,1,1,36,DrDoS
192.168.157.39,same,14,22,7,1,Normal
222.36.220.22,different,245,3,3,1,DoS
192.168.218.192,same,12,21,6,1,Normal
7.28.138.33,different,695,14,2,1,DDoS
192.168.214.26,same,6,29,7,1,Normal
126.235.183.92,different,30,4,2,24,DrDoS
192.168.184.197,same,15,16,10,1,Normal
192.171.180.24,different,365,9,2,1,DoS
192.168.14.153,same,11,21,6,1,Normal
192.168.221.64,same,12,27,3,1,Normal
192.168.53.86,same,7,12,6,1,Normal
143.225.105.119,different,477,0,2,1,DoS
192.168.122.134,same,11,21,11,1,Normal
192.168.13.203,same,12,22,6,1,Normal
192.168.197.146,same,11,20,3,1,Normal
192.168.134.76,same,9,22,5,1,Normal
192.168.227.66,same,11,17,6,1,Normal
14.77.1.119,different,342,4,4,1,DoS
192.168.245.60,same,9,21,4,1,Normal
192.168.192.168,same,11,16,5,1,Normal
192.168.7.171,same,17,18,9,1,Normal
201.254.36.20,different,331,334,10,7,APDoS
192.168.228.245,same,5,21,3,1,Normal
192.168.28.185,same,11,20,3,1,Normal
124.118.7.242,different,390,178,17,6,APDoS
86.174.33.193,different,64,1,2,14,DrDoS
192.168.209.145,same,13,25,4,1,Normal
89.175.12.73,different,86,0,2,8,DrDoS
102.237.131.102,different,68,5,1,1,DoS
233.22.82.109,different,380,0,7,1,DDoS
192.168.198.89,same,8,21,5,1,Normal
192.168.199.110,same,11,20,6,1,Normal
192.168.227.15,same,9,23,7,1,Normal
192.168.140.214,same,7,22,6,1,Normal
90.88.93.203,different,312,400,83,7,APDoS
192.168.70.191,same,5,20,6,1,Normal
192.168.8.15,same,11,18,5,1,Normal
225.182.241.69,different,224,0,2,1,DoS
161.118.148.209,different,31,4,2,32,DrDoS
192.168.10.138,same,7,11,6,1,Normal
192.168.45.19,same,11,27,5,1,Normal
13.48.59.130,different,493,4,3,1,DoS
192.168.148.8,same,14,20,7,1,Normal
192.168.35.197,same,7,13,7,1,Normal
104.247.107.65,different,170,335,30,4,APDoS
210.199.230.32,different,210,4,3,1,DoS
226.252.141.36,different,530,17,1,1,DDoS
192.168.1.219,same,7,25,7,1,Normal
192.168.165.82,same,11,20,4,1,Normal
192.168.162.210,same,16,20,8,1,Normal
192.168.195.25,same,7,24,5,1,Normal
192.168.129.60,same,9,21,5,1,Normal
192.168.148.73,same,13,15,4,1,Normal
192.168.163.124,same,13,22,5,1,Normal
192.168.148.246,same,13,22,5,1,Normal
192.168.208.227,same,8,20,3,1,Normal
227.232.220.180,different,462,5,1,1,DoS
141.112.104.192,different,66,8,8,1,DDoS
60.47.28.97,different,59,1,1,1,DoS
192.168.231.21,same,13,18,6,1,Normal
192.168.199.249,same,12,24,3,1,Normal
180.142.210.135,different,77,100,67,5,APDoS
192.168.245.96,same,4,12,5,1,Normal
192.168.67.78,same,10,17,6,1,Normal
192.168.16.168,same,11,18,5,1,Normal
192.168.148.227,same,12,26,6,1,Normal
192.168.85.150,same,6,25,8,1,Normal
111.24.127.229,different,17,1,1,20,DrDoS
108.4.2.193,different,13,2,1,38,DrDoS
192.168.9.149,same,12,15,2,1,Normal
54.11.208.206,different,63,1,4,1,DDoS
192.168.74.144,same,6,18,6,1,Normal
4.187.56.173,different,69,0,3,1,DoS
192.168.2.216,same,5,23,3,1,Normal
192.168.62.110,same,6,16,4,1,Normal
192.168.112.251,same,12,15,7,1,Normal
192.168.137.50,same,6,21,5,1,Normal
192.168.63.165,same,10,29,5,1,Normal
192.168.173.60,same,6,28,1,1,Normal
192.168.85.220,same,8,18,4,1,Normal
107.184.20.196,different,227,0,2,1,DoS
192.168.126.143,same,18,29,6,1,Normal
192.168.146.115,same,8,15,5,1,Normal
169.166.85.177,different,578,1,5,1,DDoS
192.168.97.65,same,9,22,5,1,Normal
192.168.58.138,same,10,26,3,1,Normal
116.91.13.155,different,430,8,1,1,DoS
113.190.65.153,different,809,2,7,1,DDoS
192.168.41.244,same,13,19,3,1,Normal
192.168.251.220,same,13,17,5,1,Normal
109.2.26.114,different,412,7,0,1,DoS
192.168.246.8,same,6,21,10,1,Normal
192.168.26.69,same,11,25,7,1,Normal
192.168.217.240,same,5,14,9,1,Normal
66.226.167.248,different,205,6,0,1,DoS
1.199.246.87,different,177,2,3,1,DoS
47.37.142.191,different,30,2,0,18,DrDoS
145.38.136.99,different,301,382,88,2,APDoS
134.250.218.151,different,492,1,3,1,DoS
192.168.189.35,same,9,20,3,1,Normal
110.178.130.170,different,324,8,3,1,DDoS
206.62.72.251,different,173,424,28,4,APDoS
192.168.165.181,same,10,16,5,1,Normal
192.168.67.220,same,7,16,5,1,Normal
195.171.160.245,different,82,4,0,8,DrDoS
226.215.223.65,different,17,4,3,16,DrDoS
192.168.14.105,same,8,19,6,1,Normal
192.168.90.183,same,9,21,6,1,Normal
192.168.176.141,same,10,25,4,1,Normal
192.168.87.37,same,8,20,3,1,Normal
192.168.126.46,same,6,22,6,1,Normal
175.214.176.175,different,901,17,1,1,DDoS
192.168.221.161,same,10,14,2,1,Normal
192.168.166.2,same,12,18,1,1,Normal
121.38.27.3,different,133,204,11,6,APDoS
94.39.1.81,different,50,3,2,47,DrDoS
192.168.44.207,same,2,21,8,1,Normal
192.168.97.32,same,15,17,6,1,Normal
192.168.55.65,same,8,22,3,1,Normal
162.175.115.184,different,253,5,0,1,DoS
192.168.112.109,same,20,14,5,1,Normal
192.168.169.229,same,14,18,5,1,Normal
192.168.223.240,same,10,15,7,1,Normal
68.242.128.92,different,72,4,2,17,DrDoS
139.227.178.253,different,322,2,3,1,DoS
192.168.213.249,same,13,23,7,1,Normal
192.168.245.139,same,10,22,4,1,Normal
70.254.182.250,different,277,5,0,1,DDoS
192.168.150.143,same,9,27,6,1,Normal
192.168.80.113,same,8,17,2,1,Normal
114.223.21.93,different,775,10,2,1,DDoS
42.63.125.21,different,253,1,0,1,DoS
192.168.183.30,same,18,25,3,1,Normal
192.168.231.136,same,11,20,3,1,Normal
192.168.187.205,same,17,30,4,1,Normal
192.168.193.218,same,9,16,7,1,Normal
21.146.52.19,different,362,330,95,1,APDoS
32.189.73.10,different,533,7,5,1,DDoS
192.168.159.114,same,7,21,4,1,Normal
192.168.97.127,same,8,20,4,1,Normal
192.168.120.64,same,8,18,8,1,Normal
218.156.160.60,different,266,7,1,1,DoS
192.168.212.149,same,14,17,6,1,Normal
192.168.102.28,same,14,13,1,1,Normal
13.209.228.141,different,40,1,0,13,DrDoS
54.183.213.225,different,96,4,4,38,DrDoS
192.168.7.7,same,6,35,4,1,Normal
49.117.53.138,different,102,4,1,1,DoS
192.168.164.102,same,8,14,4,1,Normal
192.168.227.122,same,10,17,4,1,Normal
222.232.161.165,different,183,6,4,1,DDoS
192.168.54.186,same,7,21,8,1,Normal
192.168.103.195,same,11,11,8,1,Normal
199.105.184.26,different,74,9,2,1,DDoS
192.168.180.200,same,11,22,6,1,Normal
192.168.4.84,same,11,20,4,1,Normal
192.168.201.46,same,9,15,5,1,Normal
192.168.69.169,same,7,21,10,1,Normal
192.168.95.228,same,7,22,3,1,Normal
192.168.100.220,same,16,22,5,1,Normal
192.168.140.173,same,5,19,4,1,Normal
163.98.112.103,different,652,13,0,1,DDoS
116.92.211.181,different,140,17,3,1,DDoS
1.57.153.109,different,29,3,1,15,DrDoS
133.121.192.145,different,327,1,7,1,DDoS
192.168.220.68,same,11,21,9,1,Normal
192.168.220.136,same,7,25,1,1,Normal
165.128.194.111,different,329,332,49,4,APDoS
24.23.233.4,different,372,1,0,1,DoS
192.168.180.248,same,9,20,3,1,Normal
192.168.84.61,same,9,10,8,1,Normal
192.168.184.126,same,9,24,4,1,Normal
192.168.253.9,same,8,20,6,1,Normal
127.87.193.104,different,320,145,48,6,APDoS
151.121.166.253,different,175,362,90,2,APDoS
221.72.140.70,different,15,3,3,7,DrDoS
192.168.48.76,same,12,21,4,1,Normal
163.231.77.58,different,850,13,1,1,DDoS
192.168.131.216,same,10,15,9,1,Normal
124.224.112.12,different,175,4,2,1,DoS
192.168.139.145,same,16,26,3,1,Normal
123.193.221.47,different,216,3,0,1,DoS
182.134.78.215,different,63,6,2,1,DoS
221.247.147.29,different,841,17,9,1,DDoS
136.217.61.157,different,251,66,75,6,APDoS
192.168.155.62,same,10,21,5,1,Normal
192.168.165.22,same,6,12,6,1,Normal
192.168.72.225,same,12,20,0,1,Normal
192.168.82.154,same,9,22,4,1,Normal
138.163.72.237,different,95,155,41,6,APDoS
145.73.113.27,different,103,227,44,4,APDoS
127.152.155.111,different,320,3,8,1,DDoS
192.168.146.248,same,7,22,3,1,Normal
63.224.248.110,different,118,348,57,2,APDoS
192.168.60.178,same,12,22,11,1,Normal
192.168.72.253,same,11,17,8,1,Normal
37.78.91.18,different,403,5,2,1,DoS
192.168.204.4,same,11,20,3,1,Normal
192.168.101.38,same,5,23,3,1,Normal
27.55.233.23,different,202,326,70,4,APDoS
237.54.45.32,different,64,4,3,46,DrDoS
192.168.57.39,same,7,27,8,1,Normal
192.168.238.165,same,9,18,7,1,Normal
192.168.159.170,same,14,22,3,1,Normal
192.168.126.147,same,8,19,6,1,Normal
192.168.92.176,same,10,24,12,1,Normal
93.248.85.80,different,474,18,2,1,DDoS
192.168.198.206,same,10,19,1,1,Normal
146.178.127.48,different,243,7,3,1,DoS
192.168.103.36,same,14,12,4,1,Normal
192.168.95.91,same,9,25,2,1,Normal
192.168.163.136,same,9,20,3,1,Normal
59.70.91.9,different,944,5,9,1,DDoS
215.222.130.21,different,113,395,45,5,APDoS
192.168.61.170,same,8,23,9,1,Normal
192.168.22.146,same,18,21,6,1,Normal
135.21.73.231,different,486,3,3,1,DoS
84.203.160.28,different,441,0,4,1,DDoS
192.168.69.125,same,14,21,10,1,Normal
192.168.175.27,same,12,16,2,1,Normal
192.168.242.182,same,11,22,3,1,Normal
192.168.206.235,same,9,18,7,1,Normal
192.168.27.197,same,11,19,8,1,Normal
172.132.86.169,different,108,394,63,6,APDoS
192.168.63.71,same,11,23,3,1,Normal
119.58.42.207,different,829,7,5,1,DDoS
166.130.155.184,different,139,1,4,1,DoS
66.35.181.26,different,84,3,2,26,DrDoS
29.39.217.158,different,770,19,3,1,DDoS
192.168.173.62,same,11,18,3,1,Normal
223.118.56.8,different,256,4,3,1,DoS
192.168.52.119,same,9,27,5,1,Normal
160.51.14.229,different,133,436,46,9,APDoS
40.235.55.151,different,409,444,73,8,APDoS
192.168.55.60,same,13,18,6,1,Normal
192.168.30.119,same,12,15,3,1,Normal
192.168.86.145,same,9,17,5,1,Normal
192.168.246.167,same,11,29,6,1,Normal
144.182.38.196,different,236,7,0,1,DDoS
134.210.76.249,different,69,1,3,43,DrDoS
77.159.186.230,different,240,471,62,3,APDoS
192.168.236.246,same,13,21,4,1,Normal
69.189.51.89,different,50,4,1,24,DrDoS
192.168.149.132,same,13,23,5,1,Normal
192.168.7.59,same,10,24,7,1,Normal
192.168.148.112,same,8,21,3,1,Normal
192.168.51.137,same,14,16,4,1,Normal
192.168.231.42,same,9,14,5,1,Normal
192.168.191.243,same,10,16,4,1,Normal
147.183.229.28,different,499,5,4,1,DoS
68.213.217.177,different,52,3,1,17,DrDoS
192.168.31.209,same,12,18,5,1,Normal
192.168.131.166,same,4,15,5,1,Normal
26.147.191.104,different,59,2,2,1,DoS
192.168.194.186,same,16,19,6,1,Normal
192.168.245.89,same,13,20,7,1,Normal
192.168.107.47,same,10,19,4,1,Normal
192.168.36.56,same,5,24,8,1,Normal
103.222.185.213,different,745,14,1,1,DDoS
192.168.51.89,same,12,16,6,1,Normal
192.168.174.17,same,8,12,7,1,Normal
192.168.162.60,same,12,19,6,1,Normal
235.238.235.163,different,386,2,2,1,DoS
192.168.162.160,same,16,17,7,1,Normal
192.168.39.187,same,6,20,4,1,Normal
71.247.107.115,different,66,2,1,42,DrDoS
192.168.196.117,same,9,25,8,1,Normal
192.168.228.202,same,11,9,0,1,Normal
132.190.195.81,different,346,438,41,6,APDoS
35.21.192.212,different,31,2,4,46,DrDoS
192.168.59.76,same,12,15,4,1,Normal
192.168.111.239,same,5,13,4,1,Normal
173.134.246.209,different,73,1,3,46,DrDoS
251.74.15.241,different,292,67,68,6,APDoS
235.174.238.48,different,347,11,3,1,DDoS
130.217.58.155,different,332,128,81,7,APDoS
192.168.118.174,same,7,19,3,1,Normal
192.168.35.28,same,8,18,7,1,Normal
192.168.54.244,same,10,18,4,1,Normal
171.61.117.221,different,31,3,3,40,DrDoS
192.168.242.147,same,11,24,2,1,Normal
75.164.21.186,different,373,1,4,1,DoS
106.94.134.68,different,196,208,44,9,APDoS
192.168.158.83,same,9,22,3,1,Normal
192.168.138.119,same,5,20,7,1,Normal
192.168.202.40,same,6,24,0,1,Normal
192.168.27.25,same,16,22,3,1,Normal
27.40.79.162,different,209,1,7,1,DDoS
192.168.89.201,same,11,25,9,1,Normal
192.168.148.138,same,10,14,10,1,Normal
192.168.150.224,same,13,28,2,1,Normal
81.236.86.142,different,366,6,3,1,DoS
54.238.43.98,different,310,158,36,4,APDoS
123.205.78.43,different,402,4,2,1,DoS
192.168.82.110,same,11,12,4,1,Normal
192.168.86.96,same,9,21,5,1,Normal
192.168.130.188,same,6,23,6,1,Normal
192.168.51.111,same,11,15,5,1,Normal
192.168.38.179,same,11,16,4,1,Normal
192.168.169.220,same,11,18,6,1,Normal
192.168.120.13,same,8,19,4,1,Normal
192.168.110.57,same,9,18,6,1,Normal
179.101.105.251,different,56,4,3,42,DrDoS
192.168.216.234,same,12,15,4,1,Normal
192.168.187.162,same,12,13,5,1,Normal
192.168.156.16,same,10,18,5,1,Normal
12.221.35.18,different,139,6,0,1,DDoS
192.168.89.87,same,8,21,3,1,Normal
202.228.11.118,different,36,0,4,16,DrDoS
161.234.189.117,different,24,1,3,43,DrDoS
192.168.181.18,same,9,19,10,1,Normal
142.166.155.224,different,269,228,58,9,APDoS
192.168.149.160,same,8,21,2,1,Normal
29.206.34.6,different,445,14,5,1,DDoS
192.168.146.67,same,9,14,1,1,Normal
192.168.76.195,same,14,31,1,1,Normal
192.168.151.113,same,11,29,2,1,Normal
192.168.153.238,same,10,14,2,1,Normal
179.55.154.160,different,160,8,3,1,DoS
192.168.67.46,same,18,20,2,1,Normal
192.168.44.114,same,8,19,10,1,Normal
192.168.75.183,same,8,18,5,1,Normal
126.86.251.54,different,199,2,3,1,DoS
72.235.182.247,different,263,134,35,8,APDoS
192.168.232.65,same,8,23,5,1,Normal
192.168.171.210,same,7,18,3,1,Normal
192.168.147.101,same,15,23,4,1,Normal
192.168.65.168,same,6,11,4,1,Normal
192.168.176.252,same,6,17,5,1,Normal
192.168.103.183,same,9,21,4,1,Normal
18.187.87.244,different,430,8,3,1,DDoS
9.108.136.154,different,437,0,2,1,DoS
192.168.68.247,same,14,16,3,1,Normal
192.168.228.253,same,9,27,6,1,Normal
192.168.196.247,same,6,18,6,1,Normal
192.168.83.192,same,11,18,3,1,Normal
144.110.245.232,different,740,7,1,1,DDoS
192.168.243.83,same,14,24,7,1,Normal
192.168.130.75,same,14,30,9,1,Normal
192.168.122.131,same,6,23,5,1,Normal
233.186.126.209,different,788,15,4,1,DDoS
3.115.174.190,different,148,165,23,1,APDoS
192.168.115.151,same,11,18,6,1,Normal
189.159.221.116,different,290,318,10,2,APDoS
192.168.235.78,same,8,19,5,1,Normal
56.93.92.84,different,134,4,2,1,DoS
50.121.127.113,different,52,0,1,6,DrDoS
167.225.93.134,different,130,374,78,4,APDoS
192.168.50.105,same,11,26,8,1,Normal
132.3.124.82,different,332,10,0,1,DDoS
105.182.227.188,different,631,15,1,1,DDoS
192.168.105.216,same,13,19,3,1,Normal
58.195.66.71,different,297,17,9,1,DDoS
192.168.69.214,same,9,17,4,1,Normal
155.165.71.65,different,231,290,33,7,APDoS
192.168.62.185,same,8,18,5,1,Normal
192.168.16.38,same,8,24,2,1,Normal
125.128.51.85,different,247,470,74,3,APDoS
192.168.20.181,same,6,20,3,1,Normal
135.171.180.71,different,88,1,4,8,DrDoS
16.70.95.147,different,51,9,1,1,DDoS
192.168.228.140,same,11,21,2,1,Normal
192.168.134.79,same,17,9,4,1,Normal
119.207.77.157,different,203,84,88,3,APDoS
192.168.33.97,same,13,18,5,1,Normal
192.168.73.115,same,7,22,6,1,Normal
192.168.198.13,same,8,17,3,1,Normal
192.168.119.97,same,6,28,7,1,Normal
192.168.100.45,same,8,24,5,1,Normal
192.168.228.247,same,9,31,9,1,Normal
117.117.6.46,different,351,3,7,1,DDoS
62.128.48.25,different,19,1,4,43,DrDoS
192.168.143.148,same,7,21,7,1,Normal
192.168.139.218,same,10,16,2,1,Normal
192.168.200.87,same,7,25,8,1,Normal
192.168.191.100,same,5,25,5,1,Normal
187.68.10.143,different,241,2,9,1,DDoS
181.36.8.15,different,436,5,0,1,DDoS
192.168.71.149,same,8,23,3,1,Normal
223.114.0.12,different,920,3,9,1,DDoS
192.168.105.85,same,13,15,6,1,Normal
8.35.220.106,different,85,4,1,25,DrDoS
236.49.221.167,different,29,0,0,30,DrDoS
246.188.43.86,different,605,9,6,1,DDoS
192.168.133.145,same,11,18,4,1,Normal
220.56.243.96,different,865,9,9,1,DDoS
192.168.179.170,same,4,14,2,1,Normal
192.168.231.33,same,14,19,5,1,Normal
192.168.137.87,same,11,17,6,1,Normal
192.168.56.112,same,11,16,4,1,Normal
77.228.213.204,different,307,176,16,8,APDoS
192.168.150.168,same,12,15,5,1,Normal
156.159.98.143,different,289,3,4,1,DoS
192.168.131.11,same,7,25,6,1,Normal
192.168.239.97,same,5,27,8,1,Normal
192.168.55.105,same,7,23,7,1,Normal
195.8.60.53,different,27,2,2,38,DrDoS
4.92.168.173,different,483,14,9,1,DDoS
116.68.97.234,different,50,216,99,1,APDoS
192.168.90.88,same,6,22,3,1,Normal
247.125.222.239,different,464,7,2,1,DoS
192.168.182.216,same,10,20,9,1,Normal
192.168.195.95,same,14,15,7,1,Normal
192.168.211.52,same,20,18,1,1,Normal
192.168.230.197,same,9,18,5,1,Normal
192.168.57.185,same,7,29,4,1,Normal
36.121.107.10,different,144,5,8,1,DDoS
186.218.20.92,different,89,3,3,42,DrDoS
192.168.155.5,same,6,17,4,1,Normal
192.168.126.237,same,10,17,6,1,Normal
211.247.134.118,different,72,1,1,24,DrDoS
27.174.1.63,different,623,3,2,1,DDoS
167.209.116.246,different,812,6,0,1,DDoS
168.172.131.230,different,34,4,3,8,DrDoS
201.195.50.152,different,63,4,1,1,DoS
192.168.210.12,same,6,25,2,1,Normal
192.168.187.253,same,10,18,3,1,Normal
192.168.102.124,same,10,12,7,1,Normal
192.168.136.251,same,12,21,6,1,Normal
192.168.47.148,same,7,25,4,1,Normal
103.145.193.74,different,512,11,9,1,DDoS
71.61.40.223,different,301,6,6,1,DDoS
192.168.241.230,same,9,25,4,1,Normal
192.168.144.7,same,5,17,1,1,Normal
192.168.20.24,same,9,17,3,1,Normal
141.154.5.17,different,469,7,0,1,DDoS
192.168.232.2,same,8,24,8,1,Normal
97.56.39.118,different,385,177,54,3,APDoS
192.168.4.218,same,11,20,3,1,Normal
192.168.184.226,same,7,26,4,1,Normal
93.71.164.49,different,101,0,1,1,DoS
192.168.230.18,same,11,19,4,1,Normal
192.168.162.98,same,14,19,5,1,Normal
192.168.127.7,same,6,21,5,1,Normal
3.247.63.29,different,421,60,67,1,APDoS
223.101.45.66,different,45,2,1,5,DrDoS
192.168.34.159,same,7,24,2,1,Normal
192.168.201.69,same,14,17,9,1,Normal
192.168.14.123,same,5,14,9,1,Normal
192.168.198.64,same,8,22,10,1,Normal
192.168.70.151,same,9,20,7,1,Normal
72.214.220.133,different,51,1,3,45,DrDoS
192.168.45.66,same,18,15,7,1,Normal
112.211.64.193,different,90,2,0,49,DrDoS
192.168.238.3,same,12,16,6,1,Normal
182.206.143.15,different,298,1,2,1,DoS
218.114.67.43,different,78,2,4,14,DrDoS
192.168.225.103,same,15,25,5,1,Normal
192.168.19.242,same,12,20,4,1,Normal
192.168.68.128,same,9,21,2,1,Normal
192.168.65.21,same,7,15,4,1,Normal
192.168.141.59,same,12,17,5,1,Normal
192.168.249.106,same,17,22,2,1,Normal
192.168.152.143,same,8,22,6,1,Normal
192.168.105.210,same,15,12,4,1,Normal
45.136.233.32,different,338,175,76,2,APDoS
192.168.130.218,same,9,22,4,1,Normal
192.168.63.31,same,10,19,4,1,Normal
192.168.54.67,same,13,24,6,1,Normal
192.168.21.181,same,7,23,7,1,Normal
192.168.39.224,same,11,20,7,1,Normal
192.168.219.117,same,14,17,5,1,Normal
154.175.192.241,different,471,435,15,2,APDoS
192.168.215.146,same,11,15,7,1,Normal
192.168.177.89,same,11,24,6,1,Normal
70.246.175.192,different,452,372,91,7,APDoS
192.168.203.133,same,18,13,2,1,Normal
192.168.138.247,same,11,16,4,1,Normal
31.114.231.26,different,78,244,87,9,APDoS
192.168.180.67,same,11,14,2,1,Normal
192.168.16.127,same,12,16,5,1,Normal
192.168.193.216,same,18,20,2,1,Normal
192.168.100.21,same,13,14,5,1,Normal
57.114.34.76,different,143,4,1,1,DoS
205.184.174.182,different,436,4,3,1,DoS
192.168.215.104,same,13,21,4,1,Normal
192.168.215.112,same,14,23,5,1,Normal
24.209.48.146,different,824,3,9,1,DDoS
192.168.54.16,same,9,19,3,1,Normal
192.168.185.142,same,10,24,4,1,Normal
182.16.18.219,different,375,169,43,4,APDoS
192.168.73.202,same,13,24,5,1,Normal
192.168.20.178,same,8,15,4,1,Normal
192.168.102.225,same,15,19,5,1,Normal
192.168.141.232,same,7,14,3,1,Normal
137.251.226.64,different,377,453,63,6,APDoS
192.168.52.92,same,10,15,4,1,Normal
192.168.131.214,same,16,24,4,1,Normal
192.168.117.202,same,11,10,1,1,Normal
171.14.210.48,different,135,19,1,1,DDoS
69.3.219.78,different,570,18,2,1,DDoS
192.168.185.146,same,10,21,4,1,Normal
172.157.208.160,different,375,420,97,6,APDoS
192.168.87.229,same,5,22,4,1,Normal
139.213.233.163,different,51,3,2,22,DrDoS
192.168.219.24,same,12,28,3,1,Normal
7.126.167.92,different,984,6,4,1,DDoS
192.168.131.234,same,13,21,9,1,Normal
192.168.57.9,same,13,15,3,1,Normal
192.168.103.74,same,9,22,4,1,Normal
203.175.1.204,different,359,311,49,2,APDoS
2.92.224.202,different,275,285,64,8,APDoS
192.168.187.97,same,14,25,8,1,Normal
192.168.198.207,same,8,26,4,1,Normal
192.168.48.46,same,9,18,6,1,Normal
221.204.148.186,different,390,246,19,6,APDoS
